probIn scale
0.08916215 0.1339381
0.09451557 0.1416045
0.08084336 0.1417273
0.07646214 0.1466579
0.07599353 0.1435138
0.07608714 0.1455932
0.07416993 0.1467224
0.06653116 0.1346235
0.07335209 0.1429224
0.06085579 0.1487218
0.07129083 0.1506434
0.07002186 0.1494958
0.07280046 0.1534705
0.06911882 0.1510328
0.06985652 0.1468907
0.07802533 0.138563
0.0800056 0.1358162
0.0789285 0.1402783
0.07613012 0.137651
0.08269057 0.1366607
0.07679397 0.1311866
0.07112174 0.1312483
0.06613014 0.1328683
0.06904269 0.129241
0.05818312 0.1270626
0.07044646 0.1274792
0.06214465 0.1269644
0.05554705 0.1307239
0.04578159 0.1385118
