RIL,Yield,Protein,Oil,Seedsize,Height,Maturity
DS11-02075,5580.309791,39.68032304,21.08239023,17.46878296,124.8617959,1029.371032
DS11-02076,5535.976457,40.38032304,20.69905689,17.43544963,122.2367959,1045.978673
DS11-02078,5439.976457,38.7969897,21.28239023,17.11878296,107.8617959,1027.656746
DS11-02079,5683.643124,40.23032304,20.51572356,17.48544963,120.9867959,1016.350567
DS11-02080,5306.865346,40.2969897,20.71572356,16.63544963,124.2367959,1019.225567
DS11-02081,5666.976457,40.5469897,20.66572356,17.61878296,119.4867959,1031.154193
DS11-02083,5503.865346,39.81365637,20.93239023,17.4021163,120.7367959,1016.975567
DS11-02084,5374.976457,39.03032304,21.49905689,19.03544963,108.1117959,1021.228174
DS11-02086,5443.976457,39.43032304,22.03239023,20.18544963,99.86179586,1013.600567
DS11-02089,5667.309791,39.9969897,20.56572356,18.26878296,105.7367959,1026.513889
DS11-02091,5315.341435,41.47014251,22.95036524,16.92446995,116.2267462,1068.255453
DS11-02093,5457.770007,40.97014251,22.35036524,18.22446995,126.8934129,1044.24743
DS11-02094,5445.62715,42.57014251,22.15036524,17.69946995,115.2267462,1044.080764
DS11-02095,5694.484293,39.94514251,23.45036524,17.89946995,109.0600796,1043.74743
DS11-02096,5638.912864,42.74514251,22.02536524,17.94946995,116.2267462,1044.914097
DS11-02098,5625.62715,41.89514251,22.20036524,18.74946995,107.2267462,1043.74743
